biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
"CRP, Copeptin, NT-proBNP, hs-cTnI",4,0.5,0.3,46.5,20.0,90.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, NT-proBNP, hs-cTnI",4,0.5,0.2,37.0,15.0,50.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, NT-proBNP, hs-cTnI",4,0.5,0.2,35.5,15.0,50.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, NT-proBNP, Procalcitonin, hs-cTnI",4,0.5,0.2,50.0,20.0,60.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, NT-proBNP, hs-cTnI",4,0.3333333333333333,0.3,49.5,20.0,95.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Myoglobin, NT-proBNP, hs-cTnI",4,0.3333333333333333,0.3,48.0,20.0,95.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, NT-proBNP, Procalcitonin, hs-cTnI",4,0.3333333333333333,0.3,62.5,20.0,105.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, NT-proBNP, hs-cTnI",4,0.3333333333333333,0.2,38.5,15.0,55.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",4,0.3333333333333333,0.2,53.0,20.0,65.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",4,0.3333333333333333,0.2,51.5,20.0,65.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, hs-cTnI",4,0.3333333333333333,0.3,40.5,20.0,85.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, hs-cTnI",4,0.3333333333333333,0.3,39.0,20.0,85.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Procalcitonin, hs-cTnI",4,0.3333333333333333,0.3,53.5,20.0,95.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, hs-cTnI",4,0.3333333333333333,0.15,29.5,15.0,45.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Procalcitonin, hs-cTnI",4,0.3333333333333333,0.15,44.0,20.0,55.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, Procalcitonin, hs-cTnI",4,0.3333333333333333,0.15,42.5,20.0,55.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, hs-cTnI",4,0.16666666666666666,0.3,42.0,20.0,90.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Procalcitonin, hs-cTnI",4,0.16666666666666666,0.3,56.5,20.0,100.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
